Bucket	WT	ilvG
8,985	0,00019329	0,00022457
8,955	0,00014704	0,00026296
8,925	0,00008028	0,00024874
8,895	0,00011733	0,00019038
8,865	0,00022397	0,00018922
8,835	0,00019356	0,00012911
8,805	0,00021724	0,00024267
8,775	0,00033427	0,00029764
8,745	0,00038571	0,00023613
8,715	0,0002848	0,0002065
8,685	0,00037786	0,00028628
8,655	0,00011302	0,00031798
8,625	0,00026313	0,00033599
8,595	0,00018938	0,00011809
8,565	0,00068453	0,00038861
8,535	0,00011605	0,00054744
8,505	0,00005135	0,00036659
8,475	0,00028007	0,00032356
8,445	0,13010146	0,00125624
8,415	0,00152536	0,00044866
8,385	0,00080475	0,00033911
8,355	0,00072073	0,00027193
8,325	0,00117421	0,00034601
8,295	0,00077885	0,00065847
8,265	0,00135949	0,00083762
8,235	0,00081894	0,00041677
8,205	0,00089276	0,00042688
8,175	0,00104318	0,00084169
8,145	0,00091399	0,00111614
8,115	0,00156551	0,00148222
8,085	0,00594746	0,00648392
8,055	0,01227012	0,01236934
8,025	0,00128459	0,00109494
7,995	0,0007608	0,00069723
7,965	0,00093831	0,00123716
7,935	0,00090843	0,00053743
7,905	0,0006524	0,00033076
7,875	0,00088964	0,00063779
7,845	0,00057521	0,00040608
7,815	0,00142599	0,00068042
7,785	0,00085601	0,00067808
7,755	0,00054195	0,00097812
7,725	0,0006143	0,00060573
7,695	0,00085033	0,00085383
7,665	0,00075261	0,00063157
7,635	0,00130894	0,00095563
7,605	0,0008515	0,00059817
7,575	0,00058325	0,00070968
7,545	0,00436805	0,00461426
7,515	0,00042684	0,00064349
7,485	0,00057585	0,00035067
7,455	0,00080299	0,00041111
7,425	0,00047708	0,00056101
7,395	0,0008297	0,0006396
7,365	0,00093354	0,0013581
7,335	0,00081054	0,00064567
7,305	0,00071517	0,00064334
7,275	0,00075449	0,00064381
7,245	0,00087754	0,00032568
7,215	0,00091265	0,0004359
7,185	0,00040006	0,00053442
7,155	0,0006327	0,00053727
7,125	0,00058319	0,00045144
7,095	0,00056435	0,00031149
7,065	0,00024862	0,00047688
7,035	0,00035306	0,00022679
7,005	0,00062269	0,00022261
6,975	0,00008939	0,00034821
6,945	0,00037277	0,00030951
6,915	0,00113948	0,00124245
6,885	0,00056067	0,00078207
6,855	0,00040313	0,0003696
6,825	0,00067627	0,00055601
6,795	0,00076599	0,00049792
6,765	0,00022701	0,00078361
6,735	0,00020793	0,00022409
6,705	0,00036253	0,00011501
6,675	0,00008186	0,00013388
6,645	0,00017262	0,00008402
6,615	0,00023471	0,00020385
6,585	0,00031751	0,00080534
6,555	0,0001215	0,00020684
6,525	0,00012783	0,00035627
6,495	0,000216	0,00012362
6,465	0,00122874	0,00105726
6,435	0,00215033	0,00115276
6,405	0,00017395	0,00024751
6,375	0,0001776	0,00021901
6,345	0,00005533	0,00057089
6,315	0,00024654	0,00048738
6,285	0,00000323	0,00019961
6,255	0,00064278	0,00002467
6,225	0,00045634	0,00013086
6,195	0,02582782	0,02750999
6,165	0,00009483	0,00006423
6,135	0,00002701	0,0000002
6,105	0	0,0000141
6,075	0,00003499	0,00005023
6,045	0,0002562	0,00064298
6,015	0,00049991	0,00102771
5,985	0,00000399	0,00011906
5,955	0,00028225	0,00085372
5,925	0,00018333	0,00045312
5,895	0,00000032	0,000034
5,865	0,00002078	0,00000478
5,835	0,0000372	0,00003642
5,805	0,00249258	0,00327543
5,775	0,00002804	0
5,745	0,00000705	0
5,715	0	0
5,685	0,0000002	0
5,655	0,00002431	0,00003284
5,625	0,00000796	0,00005199
5,595	0	0,00000251
5,565	0	0
5,535	0	0
5,505	0	0,00000944
5,475	0,00044714	0,00057087
5,445	0,01732887	0,01641143
5,415	0,00002559	0,00084138
5,385	0,00000272	0,00001739
5,355	0,00002419	0,00014176
5,325	0,00000483	0,00000638
5,295	0,00001789	0,00038983
5,265	0,00024713	0,00060698
5,235	0,0015978	0,00332259
5,205	0,00163502	0,00354249
5,175	0,00116675	0,00843919
5,145	0,02444085	0,01366513
5,115	0,03732428	0,02832478
5,085	0	0
5,055	0	0
5,025	0	0
4,995	0	0
4,965	0	0
4,935	0	0
4,905	0	0
4,875	0	0
4,845	0	0
4,815	0	0
4,785	0	0
4,755	0	0
4,725	0	0
4,695	0,00098024	0,00027398
4,665	0,00087787	0,00012431
4,635	0,00059354	0,00009331
4,605	0,00046885	0,00021499
4,575	0,0004546	0,00010303
4,545	0,00020421	0,00000414
4,515	0,00039125	0,00035879
4,485	0,00023671	0
4,455	0,00006218	0,00000127
4,425	0,00001187	0,0000378
4,395	0,00543168	0,00638834
4,365	0,00003913	0,00000615
4,335	0,00006471	0,00009289
4,305	0,000076	0,00004643
4,275	0,00086565	0,00028818
4,245	0,00828907	0,00644323
4,215	0,00377377	0,00265887
4,185	0,00125458	0,00137048
4,155	0,00222281	0,00204068
4,125	0,00841873	0,00718992
4,095	0,00152892	0,00105938
4,065	0,00060844	0,00043476
4,035	0,00941787	0,01018057
4,005	0,00253445	0,00236892
3,975	0,00188653	0,00166649
3,945	0,00193141	0,00196921
3,915	0,00255251	0,002489
3,885	0,02536907	0,0255508
3,855	0,00863487	0,00656214
3,825	0,00584537	0,00409442
3,795	0,01620563	0,00516883
3,765	0,00585006	0,0070304
3,735	0,00629053	0,00570647
3,705	0,0038062	0,00303241
3,675	0,11398851	0,11452517
3,645	0,02922602	0,02969637
3,615	0,00291124	0,00319015
3,585	0,00483791	0,00396766
3,555	0,00424709	0,00341405
3,525	0,00291471	0,00209424
3,495	0,00152829	0,00133306
